date,open,high,low,close,volume,Name,range,AllenWest Vader Sentiment Score
2018-04-19,269.65,269.88,267.72,268.89,77655909,SPY,2.159999999999968,0.12556250000000002
2018-04-18,270.69,271.3,269.87,270.39,57303857,SPY,1.4300000000000068,0.12005000000000002
2018-04-17,269.33,270.87,268.75,270.19,64682036,SPY,2.1200000000000045,0.09546111111111111
2018-04-16,267.0,268.2,266.07,267.33,63405287,SPY,2.1299999999999955,-0.16463333333333333
2018-04-13,267.41,267.54,264.01,265.15,85079176,SPY,3.5300000000000296,0.2976666666666667
2018-04-12,265.26,267.0,265.06,265.93,68890480,SPY,1.9399999999999977,0.1663423076923077
2018-04-11,263.47,265.64,263.39,263.76,91140243,SPY,2.25,-0.07369444444444444
2018-04-10,264.27,266.04,262.98,265.15,105573736,SPY,3.0600000000000023,0.31320000000000003
2018-04-09,261.37,264.84,259.9356,261.0,105442932,SPY,4.904399999999953,0.09273157894736839
2018-04-06,263.42,265.11,258.0,259.72,179521209,SPY,7.110000000000014,-0.04721923076923077
2018-04-05,265.55,266.64,264.32,265.64,82652618,SPY,2.319999999999993,0.2981
2018-04-04,256.75,264.355,256.6,263.56,123715339,SPY,7.7549999999999955,-0.030295348837209288
2018-04-03,258.87,261.31,256.84,260.77,119956861,SPY,4.470000000000027,-0.025543999999999983
2018-04-02,262.55,263.13,254.67,257.47,186286343,SPY,8.460000000000008,-0.09075000000000001
2018-03-29,261.12,265.26,259.8389,263.15,124244790,SPY,5.421099999999967,-0.0616
2018-03-28,260.75,262.64,258.58,259.83,146452306,SPY,4.060000000000002,0.10262307692307693
2018-03-27,266.17,266.77,258.84,260.6,129941445,SPY,7.930000000000007,0.07795217391304346
2018-03-23,264.17,265.02,257.83,258.05,183534751,SPY,7.189999999999998,0.63
2018-03-22,267.91,268.87,263.36,263.67,148785916,SPY,5.509999999999991,0.123975
2018-03-21,270.9,273.27,270.19,270.43,78709578,SPY,3.079999999999984,0.3211
2018-03-20,270.94,271.67,270.18,270.95,59757271,SPY,1.490000000000009,0.20027499999999998
2018-03-19,273.35,274.3957,268.62,270.49,109208442,SPY,5.775699999999972,0.31245
2018-03-16,274.5,275.39,274.14,274.2,100343673,SPY,1.25,-0.2473
2018-03-15,274.7798,275.5069,273.3356,273.9033,83433038,SPY,2.171299999999974,-0.019250000000000017
2018-03-14,276.7021,276.9113,273.5746,274.2021,105895079,SPY,3.3367000000000075,-0.5416
2018-03-13,278.724,279.2917,274.9292,275.6164,91968937,SPY,4.362500000000011,-0.393425
2018-03-12,278.0865,278.7937,276.9711,277.4093,71924793,SPY,1.8226000000000226,-0.11173333333333334
2018-03-09,274.6005,277.7579,274.2419,277.7579,113625335,SPY,3.5160000000000196,-0.0258
2018-03-08,272.4591,273.1463,271.3336,273.0069,66901150,SPY,1.8127000000000066,-0.01865
2018-03-07,269.3416,272.0906,269.1224,271.6922,87063502,SPY,2.9681999999999675,-0.20305
2018-03-06,272.2101,272.2997,270.0985,271.7918,79213163,SPY,2.2011999999999716,-0.28200000000000003
2018-03-05,266.6623,271.8017,266.5428,271.1045,97307387,SPY,5.258899999999983,0.015333333333333346
2018-03-02,264.74,268.6444,263.7639,268.0069,139083217,SPY,4.8805000000000405,-0.5806333333333333
2018-03-01,270.3276,272.0806,264.9392,266.6324,176855077,SPY,7.141399999999976,-0.47196666666666665
2018-02-28,274.5806,275.0886,270.2081,270.5667,121907767,SPY,4.880499999999984,-0.3409
2018-02-27,277.0009,277.8077,273.2659,273.3356,99099165,SPY,4.541800000000023,-0.356
2018-02-26,274.8296,276.9013,274.1623,276.7917,86491406,SPY,2.738999999999976,0.48385
2018-02-23,270.7061,273.6145,270.1683,273.6145,92766428,SPY,3.446200000000033,-0.3529
2018-02-22,270.0189,271.9611,268.5647,269.3216,110511290,SPY,3.3963999999999714,-0.36755
2018-02-21,270.8157,273.6244,268.8635,268.973,98883740,SPY,4.760899999999992,-0.5574
2018-02-16,271.234,274.222,271.1842,272.0208,160420135,SPY,3.0378000000000043,0.11082
2018-02-15,270.487,271.9511,267.6981,271.9412,111200286,SPY,4.252999999999986,0.5719
2018-02-14,263.2559,268.9232,263.246,268.5149,120735685,SPY,5.677200000000028,-0.6900999999999999
2018-02-13,262.9173,265.5567,262.2599,264.9392,81223640,SPY,3.296799999999962,0.0129
2018-02-09,259.7599,262.5587,251.9114,260.4571,283565315,SPY,10.647300000000001,0.0
2018-02-08,266.9412,267.1005,256.5627,256.6026,246449505,SPY,10.537800000000004,-0.20542500000000002
2018-02-07,267.4292,271.2738,266.5129,266.6025,167376100,SPY,4.760899999999992,-0.6741666666666667
2018-02-06,258.9034,268.6244,257.6683,268.0567,355026782,SPY,10.956099999999992,-0.5933
2018-02-05,272.3595,274.7499,262.2599,262.8774,294681816,SPY,12.490000000000009,-0.2202
2018-02-02,278.963,279.1124,274.3117,274.3515,173174790,SPY,4.800700000000006,-0.911
2018-02-01,279.9491,281.9312,279.5606,280.4571,90102470,SPY,2.3705999999999676,0.18499999999999997
2018-01-31,281.6025,282.1702,279.5606,280.7758,118948131,SPY,2.6096000000000004,0.131675
2018-01-30,281.473,283.6005,280.0985,280.6363,131796419,SPY,3.5020000000000095,0.1998333333333333
2018-01-29,284.7897,285.2877,283.3654,283.5447,90118337,SPY,1.9222999999999502,-0.17673333333333333
2018-01-26,283.1164,285.4854,282.8276,285.4371,107743119,SPY,2.657800000000009,-0.5994
2018-01-25,283.0268,283.1363,281.2788,282.1702,84587313,SPY,1.857500000000016,0.1297
2018-01-24,282.8873,283.5646,280.716,282.0507,134816117,SPY,2.8485999999999763,0.03635000000000005
2018-01-19,278.6842,279.2917,278.0268,279.2917,140920098,SPY,1.2649000000000115,0.23835
2018-01-17,276.9212,278.9332,275.8654,278.4949,113258799,SPY,3.067799999999977,-0.21005
2018-01-16,278.236,278.973,275.0786,275.8654,106555142,SPY,3.8944000000000187,0.10685000000000001
2018-01-12,275.3176,277.0009,274.9809,276.8117,90816076,SPY,2.019999999999982,0.296
2018-01-11,273.6543,275.0188,273.4651,275.0188,62361455,SPY,1.553699999999992,0.24240000000000003
